store_id,name_data,location,star,review,pop_score,price,access,address,review_URL,collect,link_detail
27012282,博多華味鳥 心斎橋店," 心斎橋駅 148m / 水炊き、焼き鳥・串焼・鳥料理(鳥料理)、日本料理
            ",3.34,254.0,18.50782024082914,5000.0,"
              心斎橋駅直結！博多の郷土料理「水炊き」が味わえる水炊き料亭 【接待やデートにも是非】
            ","
                大阪府大阪市中央区西心斎橋1-3-3 オーエムホテル日航ビル　Ｂ２Ｆ

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27012282/dtlrvwlst/,11007人,https://tabelog.com/osaka/A2701/A270201/27012282/#title-rstdata
27113690,炭火焼鳥と鶏肴keshiki.,"
              心斎橋駅 361m (長堀橋駅 313m) / 居酒屋、焼き鳥・串焼・鳥料理(焼き鳥)、焼き鳥・串焼・鳥料理(鳥料理)
            ",3.17,32.0,11.083928969848742,4000.0,"
              【ミナミで話題沸騰】希少部位含む30種類以上の焼鳥と多彩な鶏料理を当店ならではの味付けで
            ","
                大阪府大阪市中央区東心斎橋1-14-19 三河ビル 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27113690/dtlrvwlst/,2179人,https://tabelog.com/osaka/A2701/A270201/27113690/#title-rstdata
27145557,手羽トロ唐揚げと鶏焼き肉 愛之助 心斎橋店," 心斎橋駅 297m / 焼き鳥・串焼・鳥料理(鳥料理)、焼肉、居酒屋
            ",3.21,24.0,10.332591397826924,4000.0,"
              【心斎橋駅3分】旨味がじゅわ～♪名物手羽トロ唐揚げ＆鶏焼き肉！おひとり様～団体までOK
            ","
                大阪府大阪市中央区東心斎橋1-18-6 ギャラリービルディング 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270202/27145557/dtlrvwlst/,436人,https://tabelog.com/osaka/A2701/A270202/27145557/#title-rstdata
27127952,鶏焼肉ボトルバード 四ツ橋店,"
              心斎橋駅 293m (四ツ橋駅 130m) / 焼き鳥・串焼・鳥料理(焼き鳥)、焼肉、居酒屋
            ",3.08,32.0,10.76924328931676,3000.0,"
              【四ツ橋駅直結】晩ご飯需要にもお応えできる鶏焼肉酒場です！！【全日am1時まで営業】
            ","
                大阪府大阪市西区新町1-4-12 ホワイトドームプラザ 2F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27127952/dtlrvwlst/,1337人,https://tabelog.com/osaka/A2701/A270201/27127952/#title-rstdata
27076428,地鶏と地魚のお店 大祥庵," 心斎橋駅 361m / 居酒屋、海鮮、焼き鳥・串焼・鳥料理(焼き鳥)
            ",3.08,35.0,11.037238330444819,4000.0,"
              歓送迎会予約受付中♪焼鳥×魚が楽しめるお店！ロールカーテンで仕切れる半個室有♪飲み放題有◎
            ","
                大阪府大阪市中央区南船場3-2-1 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27076428/dtlrvwlst/,2717人,https://tabelog.com/osaka/A2701/A270201/27076428/#title-rstdata
27060251,炭焼キッチン Tenten," 心斎橋駅 266m / 焼き鳥・串焼・鳥料理(焼き鳥)、鍋、居酒屋
            ",3.21,67.0,13.544619733615303,4000.0,"
              【心斎橋駅3分】鮮度抜群の朝挽鶏を存分に楽しむコース5500円[飲放付]～/個室～12名様
            ","
                大阪府大阪市中央区心斎橋筋1丁目4-3 トダビル 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27060251/dtlrvwlst/,3930人,https://tabelog.com/osaka/A2701/A270201/27060251/#title-rstdata
27149872,焼鳥千吉," 心斎橋駅 483m / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、焼き鳥・串焼・鳥料理(串焼き)
            ",,,,4000.0,"
              本町駅7分◆ジューシーでスモーキーな風味の焼き鳥や串焼き、馬肉など満喫◎貸切宴会も可
            ","
                大阪府大阪市中央区南久宝寺町3-2-15 三休橋ガーデンスケープE

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",,23人,https://tabelog.com/osaka/A2701/A270201/27149872/#title-rstdata
27009879,鳥八珍 心斎橋店," 心斎橋駅 215m / 焼き鳥・串焼・鳥料理(焼き鳥)、串揚げ、居酒屋
            ",3.09,63.0,12.850948727581384,3000.0,"
              焼き鳥【17品】１人前１本、200円(税込み)〜の安さ！
            ","
                大阪府大阪市中央区東心斎橋1-20-14 心斎橋エルナ岩崎ビル　Ｂ１Ｆ

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27009879/dtlrvwlst/,2719人,https://tabelog.com/osaka/A2701/A270201/27009879/#title-rstdata
27102463,心斎橋東 焼とりporc," 心斎橋駅 281m / 焼き鳥・串焼・鳥料理(焼き鳥)、居酒屋、日本酒バー
            ",3.43,120.0,16.449561571396824,5000.0,"
              【大人の隠れ家】早めのご予約必須！！甘醤油で焼き上げる唯一無二の『醤油焼鳥』
            ","
                大阪府大阪市中央区東心斎橋1-18-1 BEST PLAZA  B1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27102463/dtlrvwlst/,6530人,https://tabelog.com/osaka/A2701/A270201/27102463/#title-rstdata
27007282,かつら亭 心斎橋店," 心斎橋駅 66m / 居酒屋、海鮮、焼き鳥・串焼・鳥料理(焼き鳥)
            ",3.22,80.0,14.150126278045255,3000.0,"
              心斎橋駅3番出口直結30秒◆全国から直送した新鮮な魚介を、全国の地酒とともに堪能！個室有◎
            ","
                大阪府大阪市中央区南船場4-4-3 御堂筋アーバンライフビル B1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",https://tabelog.com/osaka/A2701/A270201/27007282/dtlrvwlst/,4058人,https://tabelog.com/osaka/A2701/A270201/27007282/#title-rstdata
